Model,Dataset,k,Metric,Accuracy,Precision,Recall,F1-Score
KNN,One-Hot,3.0,cosine,0.48,0.2666666666666666,0.425,0.31333333333333335
KNN,One-Hot,3.0,euclidean,0.44000000000000006,0.2558333333333333,0.4,0.27833333333333327
KNN,One-Hot,3.0,manhattan,0.44000000000000006,0.2558333333333333,0.4,0.27833333333333327
KNN,One-Hot,5.0,cosine,0.43999999999999995,0.26666666666666666,0.4,0.29500000000000004
KNN,One-Hot,5.0,euclidean,0.36,0.16333333333333333,0.325,0.1919047619047619
KNN,One-Hot,5.0,manhattan,0.36,0.16333333333333333,0.325,0.1919047619047619
KNN,One-Hot,7.0,cosine,0.44000000000000006,0.2958333333333333,0.375,0.30166666666666664
KNN,One-Hot,7.0,euclidean,0.36,0.18,0.3,0.18523809523809523
KNN,One-Hot,7.0,manhattan,0.36,0.18,0.3,0.18523809523809523
KNN,TF-IDF,3.0,cosine,0.5199999999999999,0.3166666666666666,0.45,0.34833333333333333
KNN,TF-IDF,3.0,euclidean,0.39999999999999997,0.225,0.35,0.25
KNN,TF-IDF,3.0,manhattan,0.32,0.08,0.25,0.11904761904761904
KNN,TF-IDF,5.0,cosine,0.56,0.37,0.5,0.4102380952380952
KNN,TF-IDF,5.0,euclidean,0.44000000000000006,0.24833333333333335,0.375,0.2704761904761904
KNN,TF-IDF,5.0,manhattan,0.32,0.08,0.25,0.11904761904761904
KNN,TF-IDF,7.0,cosine,0.6399999999999999,0.445,0.6,0.4935714285714285
KNN,TF-IDF,7.0,euclidean,0.36,0.14666666666666667,0.3,0.18690476190476188
KNN,TF-IDF,7.0,manhattan,0.32,0.08,0.25,0.11904761904761904
Logistic Regression,One-Hot,,,0.44000000000000006,0.2958333333333333,0.4,0.28500000000000003
Logistic Regression,TF-IDF,,,0.43999999999999995,0.22000000000000003,0.4,0.26499999999999996
